replicate,kir_construct,sur_construct,anap_present,chaperone,total_dna,counts
1,NA,NA,NA,NA,4,3194560
2,NA,NA,NA,NA,4,6441649
3,NA,NA,NA,NA,4,4918662
1,WT-HA-GFP,SUR,TRUE,NA,4,3731904640
2,WT-HA-GFP,SUR,TRUE,NA,4,2459280640
3,WT-HA-GFP,SUR,TRUE,NA,4,2709521280
1,WT-GFP,SUR,TRUE,NA,4,12002160
2,WT-GFP,SUR,TRUE,NA,4,11891493
3,WT-GFP,SUR,TRUE,NA,4,12907541
1,WT-HA-GFP,NA,TRUE,NA,4,208293792
2,WT-HA-GFP,NA,TRUE,NA,4,297797376
3,WT-HA-GFP,NA,TRUE,NA,4,272278528
1,WT-HA-GFP,SUR,FALSE,NA,4,2196951840
2,WT-HA-GFP,SUR,FALSE,NA,4,2691559040
3,WT-HA-GFP,SUR,FALSE,NA,4,1999242112
1,F183*-HA-GFP,SUR,TRUE,NA,4,1376448128
2,F183*-HA-GFP,SUR,TRUE,NA,4,1008279488
3,F183*-HA-GFP,SUR,TRUE,NA,4,1029939584
1,F183*-GFP,SUR,TRUE,NA,4,4260677
2,F183*-GFP,SUR,TRUE,NA,4,16629181
3,F183*-GFP,SUR,TRUE,NA,4,22318584
1,F183*-HA-GFP,NA,TRUE,NA,4,134819648
2,F183*-HA-GFP,NA,TRUE,NA,4,162347872
3,F183*-HA-GFP,NA,TRUE,NA,4,138518560
1,F183*-HA-GFP,SUR,FALSE,NA,4,1831662336
2,F183*-HA-GFP,SUR,FALSE,NA,4,1362114688
3,F183*-HA-GFP,SUR,FALSE,NA,4,1152038400
1,W311*-HA-GFP,SUR,TRUE,NA,4,NA
2,W311*-HA-GFP,SUR,TRUE,NA,4,637029376
3,W311*-HA-GFP,SUR,TRUE,NA,4,433209024
1,W311*-GFP,SUR,TRUE,NA,4,10647479
2,W311*-GFP,SUR,TRUE,NA,4,13231605
3,W311*-GFP,SUR,TRUE,NA,4,20045046
1,W311*-HA-GFP,NA,TRUE,NA,4,122574488
2,W311*-HA-GFP,NA,TRUE,NA,4,151788320
3,W311*-HA-GFP,NA,TRUE,NA,4,162387456
1,W311*-HA-GFP,SUR,FALSE,NA,4,88250528
2,W311*-HA-GFP,SUR,FALSE,NA,4,76481096
3,W311*-HA-GFP,SUR,FALSE,NA,4,54694748
4,NA,NA,NA,NA,4,1077948
5,NA,NA,NA,NA,4,591305
6,NA,NA,NA,NA,4,375138
1,WT-HA,SUR,TRUE,NA,4,2546206720
2,WT-HA,SUR,TRUE,NA,4,898903808
3,WT-HA,SUR,TRUE,NA,4,1547453440
1,WT,SUR,TRUE,NA,4,55411896
2,WT,SUR,TRUE,NA,4,48560040
3,WT,SUR,TRUE,NA,4,50878768
1,WT-HA,NA,TRUE,NA,4,155206864
2,WT-HA,NA,TRUE,NA,4,266985344
3,WT-HA,NA,TRUE,NA,4,265291552
1,WT-HA,SUR,FALSE,NA,4,3564456320
2,WT-HA,SUR,FALSE,NA,4,2003922080
3,WT-HA,SUR,FALSE,NA,4,2602959040
1,F183*-HA,SUR,TRUE,NA,4,1058391680
2,F183*-HA,SUR,TRUE,NA,4,1096662528
3,F183*-HA,SUR,TRUE,NA,4,947684480
1,F183*,SUR,TRUE,NA,4,52439564
2,F183*,SUR,TRUE,NA,4,37231528
3,F183*,SUR,TRUE,NA,4,63022868
1,F183*-HA,NA,TRUE,NA,4,182054064
2,F183*-HA,NA,TRUE,NA,4,305688672
3,F183*-HA,NA,TRUE,NA,4,199061488
1,F183*-HA,SUR,FALSE,NA,4,1137729920
2,F183*-HA,SUR,FALSE,NA,4,907069440
3,F183*-HA,SUR,FALSE,NA,4,2290770400
1,W311*-HA,SUR,TRUE,NA,4,199818704
2,W311*-HA,SUR,TRUE,NA,4,74284872
3,W311*-HA,SUR,TRUE,NA,4,119779048
1,W311*,SUR,TRUE,NA,4,30307360
2,W311*,SUR,TRUE,NA,4,27784418
3,W311*,SUR,TRUE,NA,4,46551980
1,W311*-HA,NA,TRUE,NA,4,118581552
2,W311*-HA,NA,TRUE,NA,4,231289744
3,W311*-HA,NA,TRUE,NA,4,96981808
1,W311*-HA,SUR,FALSE,NA,4,109397888
2,W311*-HA,SUR,FALSE,NA,4,127173336
3,W311*-HA,SUR,FALSE,NA,4,74129056
