wavelength,molar_extinction_coefficient
400,26910
401,27415
402,27770
403,28130
404,28355
405,28655
406,28815
407,28890
408,28755
409,28680
410,28725
411,28475
412,28120
413,27665
414,27410
415,27740
416,27535
417,26850
418,26200
419,25580
420,24985
421,25525
422,23650
423,23780
424,22670
425,22795
426,22340
427,21895
428,22040
429,21405
430,21220
431,20830
432,20655
433,20290
434,20450
435,20410
436,20450
437,20115
438,19975
439,19760
440,19915
441,19610
442,19405
443,19555
444,19970
445,19530
446,19675
447,19585
448,19820
449,19820
450,20150
451,20380
452,20125
453,20540
454,20540
455,20545
456,20800
457,20445
458,20610
459,20610
460,20830
461,20540
462,21065
463,20685
464,20620
465,20940
466,21160
467,21000
468,21070
469,21055
470,21040
471,21225
472,20885
473,21025
474,20890
475,20910
476,20855
477,20875
478,20525
479,20720
480,20525
481,20365
482,20390
483,20090
484,19840
485,20035
486,19855
487,19615
488,19440
489,19110
490,18785
491,18470
492,18010
493,17710
494,17410
495,17270
496,16745
497,16285
498,16055
499,15695
500,15125
501,14785
502,14350
503,13725
504,13405
505,12590
506,12370
507,11980
508,11560
509,11005
510,10305
511,9915
512,9645
513,8980
514,8520
515,8065
516,7420
517,7065
518,6650
519,6310
520,5915
521,5500
522,4900
523,4700
524,4410
525,4015
526,3635
527,3625
528,3060
529,2780
530,2685
531,2310
532,2310
533,1945
534,1760
535,1575
536,1485
537,1205
538,1025
539,935
540,750
541,750
542,755
543,655
544,470
545,380
546,190
547,280
548,185
549,95
550,95
551,190
552,190
553,-195
554,-100
555,0
556,0
557,0
558,-200
559,0
560,-100
561,-100
562,0
563,95
564,95
565,-190
566,-95
567,-95
568,90
569,-90
570,-90
571,-90
572,-90
573,-180
574,-90
575,0
576,-85
577,-260
578,-260
579,-255
580,-85
581,-170
582,-170
583,-255
584,-170
585,-255
586,-250
587,-250
588,-250
589,-80
590,-160
591,-245
592,-245
593,-240
594,-160
595,-240
596,-160
597,-240
598,-320
599,-160
600,-240
